a,c,g,j,k,Y
180.31,55.256,260.58,11.232999999999999,163.92,19.476
173.1,37.536,246.92,11.168,165.24,18.567
178.34,35.238,245.49,11.184000000000001,166.38,18.711
179.98,38.051,244.46,11.206,166.44,19.041
180.8,36.579,247.55,11.23,164.27,19.035
179.45,32.852,247.55,11.2,165.41,18.905
181.28,37.361,247.21,11.190999999999999,165.79,18.917
184.7,36.855,249.72,11.422,169.51,19.119
185.36,38.052,254.81,11.511,169.53,19.113
185.84,39.098,263.31,11.454,167.57,19.121
185.84,37.654,257.79,11.485,170.57,19.121
177.92,41.823,258.01,11.491,169.96,19.219
179.85,53.04600000000001,258.01,11.452,171.13,20.023
181.27,37.927,256.96,11.52,171.13,18.897000000000002
182.43,37.745,262.99,11.535,171.18,19.204
181.93,40.256,263.95,11.616,171.37,19.293
181.45,40.256,259.8,11.499,167.96,18.965999999999998
183.88,40.729,259.8,11.509,170.66,18.508
187.41,44.633,260.5,11.764000000000001,175.02,19.607
186.86,44.659,251.57,11.739,175.04,18.85
181.31,42.788000000000004,256.59,11.739,169.74,18.796
182.88,43.507,255.78,11.743,168.42,18.664
181.65,44.184,260.36,11.728,168.45,18.75
176.51,45.45,264.43,11.725999999999999,171.6,18.933
178.59,45.45,269.33,11.765999999999998,174.56,18.956
180.64,44.903,255.25,11.692,174.69,18.956
182.41,53.955,254.55,11.692,173.5,19.051
182.34,46.288000000000004,254.55,11.692,170.94,18.783
186.0,39.419000000000004,240.57,11.66,167.72,18.657
194.75,39.419000000000004,245.05,11.698,182.28,18.35
194.08,38.268,237.34,11.703,181.28,17.755
196.72,42.02,248.83,12.044,191.37,19.145
201.11,35.586,231.38,12.093,191.01,19.421
199.56,34.116,222.19,12.140999999999998,191.07,19.005
197.56,38.593,229.73,12.126,190.77,19.137999999999998
199.24,39.749,227.56,12.027999999999999,189.18,18.636
171.65,29.425,180.9,10.948,161.58,17.34
171.01,32.544000000000004,181.73,11.044,161.14,17.879
170.98,30.744,181.53,10.915,162.44,18.515
170.95,38.452,192.78,10.943,163.6,18.24
163.0,27.325,160.2,10.943,158.02,17.199
166.42,32.538000000000004,170.71,10.972000000000001,161.04,18.581
163.66,32.643,172.36,10.82,155.88,18.230999999999998
164.92,36.119,179.4,10.946,155.14,18.379
191.04,52.84,248.64,11.877,186.0,18.518
194.37,40.279,248.64,11.867,186.0,19.085
192.09,38.813,248.69,11.857999999999999,185.57,18.695
192.95,41.708,246.31,11.837,184.96,18.68
190.91,40.875,253.67,11.754000000000001,182.65,18.68
193.76,45.042,268.56,11.739,181.61,18.733
186.21,36.541,229.14,11.364,181.61,18.718
190.04,40.266,251.12,11.462,175.67,18.718
184.1,30.441,205.11,11.164000000000001,181.72,18.718
188.8,30.814,242.42,11.386,181.83,18.798
186.54,30.814,215.44,11.329,182.7,18.311
201.16,58.295,257.46,12.171,195.96,19.107
203.14,40.025,258.63,12.182,197.33,19.483
202.33,47.886,258.63,12.227,193.43,19.639
201.27,42.058,258.08,11.927999999999999,192.58,18.840999999999998
201.49,39.461999999999996,256.35,12.046,192.54,19.063
202.1,38.372,255.18,12.045,189.81,19.332
202.06,38.113,256.57,11.937999999999999,186.54,19.293
200.19,38.821999999999996,242.33,12.008,186.33,18.845
200.88,42.69,251.06,12.015,186.33,19.093
202.63,40.759,246.0,11.982000000000001,184.44,19.293
201.84,34.442,230.42,12.035,184.28,18.928
201.57,37.043,241.68,11.894,183.62,19.151
199.24,36.156,237.58,11.898,182.94,18.86
197.6,50.547,269.68,11.898,192.81,19.24
195.81,43.618,264.32,11.895999999999999,191.36,19.24
197.04,45.2,265.62,11.953,192.06,19.248
197.62,48.541000000000004,274.98,11.917,193.46,19.458
196.81,42.982,262.08,11.824000000000002,191.69,19.498
196.97,38.467,249.03,11.842,192.09,19.142
181.76,40.678000000000004,239.66,11.720999999999998,173.71,19.56
183.45,34.948,239.98,11.824000000000002,177.17,19.408
189.7,44.651,261.85,12.043,180.6,19.828
186.96,36.506,247.01,12.107999999999999,181.29,19.517
194.61,36.963,245.66,12.064,175.54,19.535999999999998
195.46,38.848,254.2,12.145,177.93,19.371
192.24,40.382,255.9,12.104000000000001,179.16,19.371
190.48,40.510999999999996,257.97,12.027000000000001,182.25,19.368
191.59,40.510999999999996,253.55,11.956,181.46,19.162
189.77,40.844,254.13,12.065,184.51,19.483
190.07,42.848,261.68,12.06,183.78,19.662
189.96,42.768,258.77,12.084000000000001,182.87,19.660999999999998
189.96,43.693999999999996,264.39,12.085,180.14,19.698
191.21,42.09,264.57,11.967,181.37,19.482
190.97,50.696000000000005,270.4,12.052,182.56,19.746
190.26,49.732,255.49,12.012,182.79,19.414
188.14,39.933,250.34,12.075,182.79,19.442999999999998
189.53,37.641999999999996,248.27,11.957,176.32,19.461
191.31,37.34,247.9,12.027000000000001,180.89,19.558
187.9,37.848,256.75,12.027000000000001,182.36,19.585
186.4,37.848,255.53,12.025,183.09,19.387
188.5,38.183,255.53,12.025,182.06,19.675
186.85,38.183,238.55,12.025,180.44,19.192
185.43,34.874,233.65,12.005999999999998,179.74,19.084
189.45,49.836999999999996,256.88,12.013,180.61,19.747
189.05,45.621,263.82,11.947000000000001,180.43,19.802
178.69,36.059,213.83,11.349,170.28,18.9
178.59,40.766999999999996,239.35,11.317,171.51,19.43
179.93,40.505,253.51,11.457,173.17,19.645
179.48,39.368,253.99,11.424000000000001,172.75,19.623
179.36,40.061,253.65,11.384,172.25,19.688
171.24,36.298,230.92,11.244000000000002,163.25,18.226
171.35,36.414,236.5,10.975,161.3,19.189
171.35,37.242,236.73,11.110999999999999,157.89,19.291
169.14,35.066,236.73,11.029000000000002,155.15,19.073
169.15,39.709,241.1,11.056,155.39,19.38
168.17,39.285,241.39,11.068,154.92,19.425
169.72,36.667,244.18,11.061,154.49,19.208
169.52,39.936,243.2,11.040999999999999,160.06,19.122
132.1,37.991,142.84,9.6679,124.04,15.606
134.59,33.576,169.93,9.6925,123.07,15.685
134.5,27.214000000000002,173.06,9.7127,122.19,15.987
135.1,30.566,175.13,9.7127,123.66,15.86
136.13,27.855,176.62,9.7158,125.14,16.06
137.73,31.261999999999997,185.83,9.6831,125.91,16.273
137.73,31.98,193.66,9.6344,127.2,16.347
137.49,34.425,200.85,9.6992,127.41,16.37
136.78,32.452,202.28,9.6702,126.44,16.909000000000002
136.95,38.954,213.56,9.602,127.21,17.027
137.62,34.699,204.39,9.7057,127.12,16.252
137.39,35.681999999999995,209.44,9.677,126.28,16.348
136.73,33.244,209.09,9.6093,125.49,16.733
137.69,34.929,209.09,9.6259,124.79,17.151
139.26,39.803000000000004,226.81,9.709,126.84,17.067999999999998
139.22,38.773,223.5,9.7326,126.08,16.812
138.76,38.209,217.43,9.7205,126.0,16.74
138.58,37.873000000000005,214.5,9.7497,125.17,16.733
138.21,36.516999999999996,210.75,9.6705,124.51,16.79
137.62,37.102,210.75,9.736,127.1,17.256
136.95,41.368,210.67,9.703,126.75,16.595
137.85,32.43,212.22,9.712,127.55,16.682000000000002
139.63,32.061,211.33,9.7502,127.4,16.864
138.66,32.044000000000004,202.91,9.6844,127.66,16.307000000000002
138.28,32.044000000000004,208.52,9.7143,127.77,16.239
138.28,33.16,208.97,9.7514,126.73,16.695999999999998
138.07,30.671,208.97,9.6776,126.62,16.427
138.74,35.793,217.16,9.7226,126.62,16.829
138.98,32.278,210.29,9.6847,126.53,16.777
139.48,35.12,218.39,9.7349,127.74,16.583
140.33,36.898,225.39,9.7253,127.32,16.986
140.73,37.054,224.9,9.7281,125.36,17.016
141.19,34.062,220.93,9.714,125.14,17.205
141.27,34.853,219.41,9.7359,124.34,17.205
139.75,34.845,214.6,9.7279,124.21,16.765
139.23,31.528000000000002,211.8,9.74,124.13,16.680999999999997
138.67,31.671999999999997,211.2,9.7348,124.34,16.479
139.34,34.037,217.46,9.7348,124.29,17.119
138.58,43.63,225.82,9.7011,127.51,17.26
138.58,45.917,242.71,9.7221,127.27,17.577
140.47,37.241,248.26,9.75,128.41,17.654
140.15,37.799,254.26,9.6929,129.04,17.908
141.03,39.536,260.96,9.7387,130.21,17.933
140.32,43.228,249.15,9.7481,130.18,17.522000000000002
133.95,30.721999999999998,231.47,9.5463,124.23,17.508
135.3,41.175,242.01,9.626,125.25,17.828
137.36,36.455999999999996,256.36,9.645,125.14,18.570999999999998
137.76,36.254,237.75,9.697000000000001,126.09,18.472
144.06,43.711000000000006,272.7,10.079,131.76,19.023
149.44,42.667,268.77,10.392999999999999,139.37,19.023
149.25,48.318000000000005,264.35,10.414000000000001,139.93,19.064
149.66,36.571,245.07,10.389000000000001,141.14,18.815
150.63,40.779,248.9,10.427999999999999,141.67,19.125999999999998
146.91,38.84,247.68,10.458,140.56,18.87
149.69,43.21,247.54,10.296,140.93,18.261
148.2,40.192,247.54,10.333,141.35,19.21
153.54,37.407,247.85,10.38,144.67,19.048
153.63,38.07,247.85,10.369000000000002,145.84,18.877
153.28,39.633,247.85,10.390999999999998,144.27,19.127
153.28,42.98,247.83,10.392000000000001,144.92,18.715999999999998
